ACCOUNT NAME,LAST DAY OF MONTH,AMOUNT
090 - Checking Account,01/31/2025,4540.98
090 - Checking Account,02/28/2025,4945.48
090 - Checking Account,03/31/2025,5348.48
090 - Checking Account,04/30/2025,6256.48
090 - Checking Account,05/31/2025,6667.48
090 - Checking Account,06/30/2025,7076.48
090 - Checking Account,07/31/2025,8480.23
090 - Checking Account,08/31/2025,8879.63
090 - Checking Account,09/30/2025,9973.88
090 - Checking Account,10/31/2025,10330.67
090 - Checking Account,11/30/2025,10333.72
090 - Checking Account,12/31/2024,4130.98
090 - Checking Account,12/31/2025,10365.88
120 - Accounts Receivable,01/31/2025,500
120 - Accounts Receivable,02/28/2025,0
120 - Accounts Receivable,03/31/2025,0
120 - Accounts Receivable,04/30/2025,0
120 - Accounts Receivable,05/31/2025,0
120 - Accounts Receivable,06/30/2025,1500
120 - Accounts Receivable,07/31/2025,500
120 - Accounts Receivable,08/31/2025,1200
120 - Accounts Receivable,09/30/2025,500
120 - Accounts Receivable,10/31/2025,4915
120 - Accounts Receivable,11/30/2025,829.8
120 - Accounts Receivable,12/31/2024,500
120 - Accounts Receivable,12/31/2025,3467.78
160 - Computer Equipment,01/31/2025,0
160 - Computer Equipment,02/28/2025,0
160 - Computer Equipment,03/31/2025,0
160 - Computer Equipment,04/30/2025,0
160 - Computer Equipment,05/31/2025,0
160 - Computer Equipment,06/30/2025,0
160 - Computer Equipment,07/31/2025,0
160 - Computer Equipment,08/31/2025,1739.13
160 - Computer Equipment,09/30/2025,1739.13
160 - Computer Equipment,10/31/2025,1739.13
160 - Computer Equipment,11/30/2025,1739.13
160 - Computer Equipment,12/31/2024,0
160 - Computer Equipment,12/31/2025,1739.13
200 - Accounts Payable,01/31/2025,0
200 - Accounts Payable,02/28/2025,0
200 - Accounts Payable,03/31/2025,0
200 - Accounts Payable,04/30/2025,0
200 - Accounts Payable,05/31/2025,0
200 - Accounts Payable,06/30/2025,0
200 - Accounts Payable,07/31/2025,0
200 - Accounts Payable,08/31/2025,1900
200 - Accounts Payable,09/30/2025,1900
200 - Accounts Payable,10/31/2025,1900
200 - Accounts Payable,11/30/2025,163.56
200 - Accounts Payable,12/31/2024,0
200 - Accounts Payable,12/31/2025,2163.56
220 - Sales Tax,01/31/2025,84.66
220 - Sales Tax,02/28/2025,84.66
220 - Sales Tax,03/31/2025,126.99
220 - Sales Tax,04/30/2025,211.65
220 - Sales Tax,05/31/2025,253.98
220 - Sales Tax,06/30/2025,423.31
220 - Sales Tax,07/31/2025,465.64
220 - Sales Tax,08/31/2025,406.37
220 - Sales Tax,09/30/2025,448.7
220 - Sales Tax,10/31/2025,864.86
220 - Sales Tax,11/30/2025,1040.95
220 - Sales Tax,12/31/2024,42.33
220 - Sales Tax,12/31/2025,2048.48
255 - Historical Adjustment,01/31/2025,4130.98
255 - Historical Adjustment,02/28/2025,4130.98
255 - Historical Adjustment,03/31/2025,4130.98
255 - Historical Adjustment,04/30/2025,4130.98
255 - Historical Adjustment,05/31/2025,4130.98
255 - Historical Adjustment,06/30/2025,4130.98
255 - Historical Adjustment,07/31/2025,4130.98
255 - Historical Adjustment,08/31/2025,4130.98
255 - Historical Adjustment,09/30/2025,4130.98
255 - Historical Adjustment,10/31/2025,4130.98
255 - Historical Adjustment,11/30/2025,4130.98
255 - Historical Adjustment,12/31/2024,4130.98
255 - Historical Adjustment,12/31/2025,4130.98
320 - Retained Earnings,01/31/2025,457.67
320 - Retained Earnings,02/28/2025,457.67
320 - Retained Earnings,03/31/2025,457.67
320 - Retained Earnings,04/30/2025,457.67
320 - Retained Earnings,05/31/2025,457.67
320 - Retained Earnings,06/30/2025,457.67
320 - Retained Earnings,07/31/2025,457.67
320 - Retained Earnings,08/31/2025,457.67
320 - Retained Earnings,09/30/2025,457.67
320 - Retained Earnings,10/31/2025,457.67
320 - Retained Earnings,11/30/2025,457.67
320 - Retained Earnings,12/31/2024,0
320 - Retained Earnings,12/31/2025,457.67
